cod_mun,municipio_residencia,regiao_saude_residencia,tratado,medicos_pmm_inicial,populacao_2014,log_populacao,taxa_icsap_pre,taxa_clinicas_pre,taxa_icsap_pos,mudanca_taxa_icsap
520005,ABADIA DE GOIAS,CENTRAL,0,0.0,7733,8.953252164609035,275.9349808378485,350.4691423285318,326.2264722216057,50.291491383757204
520010,ABADIANIA,PIRENEUS,1,3.0,17701,9.781376414141157,128.13113240217015,155.83516102966638,123.7879974681916,-4.343134933978547
520013,ACREUNA,SUDOESTE I,0,0.0,21549,9.97808469074291,420.1067115978658,592.5301881493962,312.72979098759646,-107.37692061026934
520015,ADELANDIA,OESTE II,0,0.0,2554,7.845416036592485,150.58823529411762,211.76470588235293,90.01347200814384,-60.57476328597379
520017,AGUA FRIA DE GOIAS,ENTORNO NORTE,0,0.0,5451,8.603554357064281,62.27988878591289,73.40129749768305,37.42122773846945,-24.85866104744344
520020,AGUA LIMPA,SUL,0,0.0,2007,7.604396348796338,261.2568035625928,320.6333498268184,162.56324139970712,-98.69356216288566
520025,AGUAS LINDAS DE GOIAS,ENTORNO SUL,1,2.0,182526,12.114647907610825,213.6376412389679,277.1150711113609,149.9901866787131,-63.6474545602548
520030,ALEXANIA,PIRENEUS,1,3.0,25805,10.158323550582827,276.11119836657764,359.50997329982727,539.4311955492302,263.31999718265257
520050,ALOANDIA,SUL,0,0.0,2084,7.642044402873258,568.6931546194352,729.5356629966492,189.7297626664229,-378.96339195301226
520055,ALTO HORIZONTE,SERRA DA MESA,0,0.0,5307,8.576781982827894,53.69649805447471,79.37743190661479,47.0671173838561,-6.629380670618609
520060,ALTO PARAISO DE GOIAS,ENTORNO NORTE,0,0.0,7328,8.899457906353966,224.73147893142382,287.52409804461576,202.50382709054267,-22.22765184088115
520080,ALVORADA DO NORTE,NORDESTE II,0,0.0,8499,9.047703788498627,1538.3522727272725,2061.0795454545455,753.6557148439267,-784.6965578833458
520082,AMARALINA,SERRA DA MESA,0,0.0,3658,8.204671828950811,102.6206896551724,119.17241379310344,78.83834883338204,-23.782340821790356
520085,AMERICANO DO BRASIL,RIO VERMELHO,0,0.0,5866,8.676928249537397,365.3879236194736,487.1838981592981,537.8783365847628,172.49041296528918
520090,AMORINOPOLIS,OESTE I,0,0.0,3528,8.168486417126681,332.77310924369743,450.4201680672269,345.0201656037618,12.247056360064391
520110,ANAPOLIS,PIRENEUS,0,0.0,361991,12.799374628620393,318.5320731277385,421.4749777561401,253.60668136443908,-64.92539176329942
520120,ANHANGUERA,ESTRADA DE FERRO,0,0.0,1093,6.996681488176539,543.438077634011,754.1589648798521,619.2237824363207,75.78570480230962
520130,ANICUNS,CENTRAL,0,0.0,21338,9.968244799751407,267.23283793347485,330.0778485491861,232.16084561165155,-35.0719923218233
520140,APARECIDA DE GOIANIA,CENTRO SUL,1,38.0,511323,13.144756763432078,191.23525075955965,240.39838679714512,178.1399206125082,-13.095330147051442
520145,APARECIDA DO RIO DOCE,SUDOESTE I,0,0.0,2505,7.826044013518965,95.96161535385846,134.34626149540185,129.6649728431583,33.70335748929983
520150,APORE,SUDOESTE II,0,0.0,4043,8.304742269640771,383.23353293413174,523.9520958083832,459.4346973129367,76.20116437880495
520160,ARACU,CENTRAL,0,0.0,3800,8.242756345714477,860.0575464295057,1098.6136541982735,644.1374888492418,-215.92005758026392
520170,ARAGARCAS,OESTE I,0,0.0,19426,9.874367653962276,252.86759744641094,317.6415632947527,171.06839762870322,-81.79919981770772
520180,ARAGOIANIA,CENTRO SUL,1,2.0,9278,9.135401285311689,757.5757575757576,1080.368906455863,356.03492533653184,-401.5408322392258
520215,ARAGUAPAZ,RIO VERMELHO,0,0.0,7795,8.961237781491876,265.5687081832218,364.38497169325785,232.55473175748932,-33.013976425732494
520235,ARENOPOLIS,OESTE I,0,0.0,3122,8.046229101075378,898.1132075471697,1271.6981132075473,654.3267838494818,-243.78642369768795
520250,ARUANA,RIO VERMELHO,0,0.0,8542,9.052750451401412,174.20515896820635,246.19076184763045,243.1134454989572,68.90828653075084
520260,AURILANDIA,OESTE II,0,0.0,3553,8.175547596021026,316.7546540705751,426.78521811614337,393.7098782052907,76.95522413471559
520280,AVELINOPOLIS,CENTRAL,0,0.0,2501,7.824445930877619,944.0894568690095,1298.7220447284344,631.9729011156642,-312.1165557533453
520310,BALIZA,OESTE I,0,0.0,4321,8.371242135931933,251.60829163688348,354.53895639742666,188.51321657553052,-63.09507506135296
520320,BARRO ALTO,SAO PATRICIO II,0,0.0,9820,9.192176401348512,179.88757026858212,237.35165521549033,274.8931976859516,95.00562741736945
520330,BELA VISTA DE GOIAS,CENTRO SUL,1,2.0,27112,10.207731713286888,604.9095413257263,810.2995270625328,581.6290562347468,-23.280485090979482
520340,BOM JARDIM DE GOIAS,OESTE I,0,0.0,8790,9.081369990679223,292.04753199268737,388.02559414990856,393.98256315307935,101.93503116039199
520350,BOM JESUS DE GOIAS,SUL,0,0.0,22872,10.037668734002148,261.0436407313492,320.2989456826371,313.125082124834,52.081441393484795
520355,BONFINOPOLIS,CENTRO SUL,0,0.0,8508,9.048762176320128,164.44284168770284,213.4871979805265,186.59659580736417,22.15375411966133
520357,BONOPOLIS,NORTE,0,0.0,3916,8.272826003650401,125.06513809275664,146.95153725898905,139.1029342788442,14.037796186087562
520360,BRAZABRANTES,CENTRAL,1,1.0,3485,8.156223323194624,219.5121951219512,268.29268292682923,168.0958259650996,-51.4163691568516
520380,BRITANIA,RIO VERMELHO,0,0.0,5748,8.656607247198915,706.4989517819706,991.6142557651992,699.6413468229753,-6.857604958995353
520390,BURITI ALEGRE,SUL,0,0.0,9431,9.151757414543885,954.1245343267695,1346.248004257584,996.4950659237116,42.3705315969421
520393,BURITI DE GOIAS,OESTE II,0,0.0,2600,7.8632667240095735,465.0805832693783,626.2471220260936,350.36312435156367,-114.71745891781461
520396,BURITINOPOLIS,NORDESTE II,0,0.0,3396,8.130353547431238,141.25956444967628,180.10594467333726,78.05206721762856,-63.207497232047714
520400,CABECEIRAS,ENTORNO NORTE,1,1.0,7773,8.958411469230219,326.55176882208116,446.2874173901775,216.18247574386754,-110.36929307821362
520410,CACHOEIRA ALTA,SUDOESTE I,0,0.0,11517,9.351579483668907,213.60592174832567,271.76594994712724,395.20791904989846,181.6019973015728
520420,CACHOEIRA DE GOIAS,OESTE II,0,0.0,1430,7.265429723253953,217.27019498607243,292.4791086350975,276.81266102318733,59.542466037114906
520425,CACHOEIRA DOURADA,SUL,0,0.0,8399,9.035867930125628,198.24102685999523,263.84597100071306,209.14835656098646,10.907329700991227
520430,CACU,SUDOESTE I,0,0.0,14603,9.588982266040471,282.3725981620718,336.6750208855472,244.71246265848987,-37.660135503581955
520440,CAIAPONIA,SUDOESTE II,0,0.0,17962,9.796013694230895,902.7176053564395,1143.0822033421482,887.4794809025111,-15.238124453928435
520450,CALDAS NOVAS,ESTRADA DE FERRO,0,0.0,79705,11.286087598067747,290.68409093826625,358.0020282673718,198.5288175001412,-92.15527343812505
520455,CALDAZINHA,CENTRO SUL,0,0.0,3582,8.183676582620658,281.3559322033898,386.44067796610165,224.6261661508425,-56.72976605254729
520460,CAMPESTRE DE GOIAS,CENTRAL,0,0.0,3560,8.177515823846075,274.6538570217576,356.0327776207969,226.91859972576864,-47.73525729598893
520465,CAMPINACU,NORTE,0,0.0,3744,8.227909837597483,323.63150867823765,410.14686248331105,93.49931838577311,-230.13219029246454
520470,CAMPINORTE,SERRA DA MESA,0,0.0,11940,9.387649386946594,654.5269755229947,833.4039129330058,627.717467851782,-26.809507671212714
520480,CAMPO ALEGRE DE GOIAS,ESTRADA DE FERRO,0,0.0,6765,8.819517540604888,195.44563414266324,251.54576986879806,180.18950754789137,-15.256126594771871
520485,CAMPO LIMPO DE GOIAS,PIRENEUS,0,0.0,6957,8.847503625923641,124.90837120656795,181.20510189121828,144.9431557504258,20.034784543857853
520490,CAMPOS BELOS,NORDESTE I,0,0.0,19412,9.873646710525106,194.17072917747123,237.1123327455658,132.83714175258223,-61.333587424889004
520495,CAMPOS VERDES,SAO PATRICIO I,0,0.0,4115,8.32239411311117,684.5360824742268,992.4398625429553,469.5259983485138,-215.01008412571298
520500,CARMO DO RIO VERDE,SAO PATRICIO I,0,0.0,9571,9.166492972195906,527.1383315733897,661.4572333685321,439.03926162707955,-88.09906994631012
520505,CASTELANDIA,SUDOESTE I,0,0.0,3659,8.204945165019208,323.177366702938,385.20130576713814,227.26529140831985,-95.91207529461815
520510,CATALAO,ESTRADA DE FERRO,0,0.0,96836,11.480774104953143,292.1092564491654,366.8437025796661,244.13168181119147,-47.97757463797393
520520,CATURAI,CENTRAL,0,0.0,4944,8.505929999137527,603.6659877800407,703.8696537678208,476.88237250575946,-126.78361527428126
520530,CAVALCANTE,NORDESTE I,1,3.0,9747,9.18471482433721,242.00020578248788,348.18396954419177,275.6076563134253,33.60745053093743
520540,CERES,SAO PATRICIO I,0,0.0,21782,9.988839219635631,407.3526694993534,543.1368926658046,390.23120941083164,-17.121460088521758
520545,CEZARINA,CENTRO SUL,0,0.0,8119,9.001962272862446,373.78519810615495,509.84301021679545,293.4307414721247,-80.35445663403027
520547,CHAPADAO DO CEU,SUDOESTE II,0,0.0,8318,9.026177120302856,380.50236259636904,489.4304899278786,400.1705436291285,19.668181032759435
520549,CIDADE OCIDENTAL,ENTORNO SUL,0,0.0,62903,11.04934913630475,200.80582271900184,262.60722641018975,145.80608100463797,-54.999741714363864
520551,COCALZINHO DE GOIAS,PIRENEUS,0,0.0,18871,9.845381631129095,148.8481984642646,197.17553562798687,155.0415404182919,6.193341954027289
520552,COLINAS DO SUL,SERRA DA MESA,0,0.0,3563,8.178358165605836,610.9090909090909,859.3006993006992,704.1120000113814,93.2029091022905
520570,CORREGO DO OURO,OESTE II,0,0.0,2590,7.859413154693583,371.559633027523,513.7614678899083,690.5278913859257,318.96825835840275
520580,CORUMBA DE GOIAS,PIRENEUS,0,0.0,10896,9.296151028389293,202.78880783082462,262.62812817434667,124.4490796430704,-78.33972818775422
520590,CORUMBAIBA,ESTRADA DE FERRO,0,0.0,8945,9.09884999594282,502.6677261891248,674.3103644000455,388.7195032771297,-113.94822291199506
520620,CRISTALINA,ENTORNO SUL,1,2.0,52235,10.863508047271608,161.645388961661,194.02138849244366,161.72655471170393,0.08116575004291349
520630,CRISTIANOPOLIS,CENTRO SUL,0,0.0,3020,8.013012110368916,342.1750663129974,425.7294429708223,428.5844945922322,86.40942827923482
520640,CRIXAS,SAO PATRICIO I,0,0.0,16592,9.716675930469309,595.3781767453145,799.9029538424213,753.0230129994054,157.64483625409093
520650,CROMINIA,CENTRO SUL,0,0.0,3622,8.19478163844336,1144.7477253928867,1472.2911497105047,1111.9539576237644,-32.79376776912227
520660,CUMARI,ESTRADA DE FERRO,0,0.0,3001,8.006700845440367,514.2857142857142,645.8471760797343,258.50785923408773,-255.7778550516265
520670,DAMIANOPOLIS,NORDESTE II,0,0.0,3383,8.12651816878071,702.7506654835847,869.5652173913044,821.5025950850787,118.751929601494
520680,DAMOLANDIA,CENTRAL,0,0.0,2886,7.9676267393338165,464.27326594632274,577.2046009062391,514.6216462096586,50.348380263335855
520690,DAVINOPOLIS,ESTRADA DE FERRO,0,0.0,2123,7.660585461703256,192.54365266635202,237.8480415290231,317.7302836957057,125.18663102935366
520710,DIORAMA,OESTE I,0,0.0,2545,7.841885928984623,231.1320754716981,301.8867924528302,161.10019646365424,-70.03187900804386
520725,DOVERLANDIA,SUDOESTE II,0,0.0,7890,8.97335141383992,739.2290249433106,1002.2675736961452,441.61010761009015,-297.61891733322045
520735,EDEALINA,CENTRO SUL,0,0.0,3816,8.246958032568177,62.843676355066776,65.98586017282011,62.90957181915024,0.06589546408346081
520740,EDEIA,CENTRO SUL,0,0.0,11952,9.388653907372598,706.5969293065633,898.9370676564871,511.2354039716598,-195.3615253349035
520750,ESTRELA DO NORTE,NORTE,0,0.0,3389,8.128290171607052,661.3616268788683,848.8063660477453,757.3074836294136,95.94585675054532
520753,FAINA,RIO VERMELHO,0,0.0,7034,8.858510813033927,433.18233295583235,620.0453001132503,245.05027144812004,-188.1320615077123
520760,FAZENDA NOVA,OESTE I,0,0.0,6239,8.738575192110787,45.72880279453795,53.35026992696094,209.79982526891723,164.07102247437928
520780,FIRMINOPOLIS,OESTE II,0,0.0,12492,9.43284371840297,1127.8561011181332,1467.1852211959163,1055.7355441659877,-72.12055695214553
520790,FLORES DE GOIAS,ENTORNO NORTE,1,3.0,13988,9.545955098183267,151.80935569285083,197.7052074139453,95.04598231827035,-56.76337337458048
520800,FORMOSA,ENTORNO NORTE,1,7.0,110388,11.611756711265157,255.58740311327796,327.25362432375135,280.31766887734625,24.730265764068292
520810,FORMOSO,NORTE,0,0.0,4780,8.472195825485501,652.7404343329886,920.7859358841779,622.6770982918317,-30.063336041156845
520815,GAMELEIRA DE GOIAS,PIRENEUS,0,0.0,3605,8.190077049719049,50.77574047954866,64.31593794076163,103.17350962091709,52.39776914136843
520830,DIVINOPOLIS DE GOIAS,NORDESTE I,1,1.0,5032,8.523572798380277,249.70273483947682,380.49940546967895,452.6029427599617,202.9002079204849
520840,GOIANAPOLIS,PIRENEUS,0,0.0,11013,9.306831672164943,593.4005999454595,951.1862557949275,443.8290751384068,-149.5715248070527
520850,GOIANDIRA,ESTRADA DE FERRO,0,0.0,5520,8.616133139271142,520.1238390092878,638.135130213076,522.419335250378,2.295496241090177
520860,GOIANESIA,SAO PATRICIO II,0,0.0,64861,11.080001797565458,452.87622384184675,643.7486314867529,433.4903021462656,-19.385921695581146
520870,GOIANIA,CENTRAL,1,29.0,1412364,14.160775454181369,242.31203917980733,306.22248533448146,224.67764696306415,-17.63439221674318
520880,GOIANIRA,CENTRAL,1,3.0,38607,10.561188886161775,556.5189722376899,773.2081775515074,606.5226718790038,50.003699641313915
520890,GOIAS,RIO VERMELHO,0,0.0,24615,10.111111292192302,537.2484168918646,682.9346993102891,473.3881105328786,-63.86030635898601
520910,GOIATUBA,SUL,0,0.0,33902,10.431229288678432,276.54847596196566,350.48431529369947,325.1298251471526,48.58134918518692
520915,GOUVELANDIA,SUL,0,0.0,5417,8.597297435657898,47.24409448818898,49.49381327334083,66.94002430435016,19.695929816161183
520920,GUAPO,CENTRAL,0,0.0,14419,9.576302060306647,180.87101479474887,220.04584288393417,189.52391348197804,8.652898687229168
520929,GUARAITA,RIO VERMELHO,0,0.0,2300,7.7406644019172415,308.6155165023575,396.05657951135873,459.650333563377,151.0348170610195
520940,GUARANI DE GOIAS,NORDESTE II,1,1.0,4235,8.351138607086154,157.4876962737286,210.92102179517227,104.15728203981816,-53.330414233910446
520945,GUARINOS,SAO PATRICIO I,0,0.0,2177,7.685703061234547,199.90995047276,248.53669518235026,259.6412438292639,59.7312933565039
520960,HEITORAI,RIO VERMELHO,0,0.0,3718,8.220941168281389,848.8120950323975,1159.827213822894,890.0574097572221,41.24531472482465
520970,HIDROLANDIA,CENTRO SUL,1,1.0,19392,9.87261588886904,588.7983171180646,780.6468577438864,552.8820800897457,-35.91623702831885
520980,HIDROLINA,SERRA DA MESA,0,0.0,3966,8.285513309079741,254.618072890664,332.50124812780825,609.096341053269,354.47826816260505
520990,IACIARA,NORDESTE II,0,0.0,13292,9.494917629474484,593.6621323808799,690.3260126149403,516.0624416358221,-77.59969074505784
520993,INACIOLANDIA,SUL,0,0.0,6023,8.70334075304372,66.23181133968892,72.25288509784244,83.55691029206156,17.32509895237264
520995,INDIARA,CENTRO SUL,0,0.0,14729,9.597573618489543,257.1428571428571,318.95604395604397,303.5610283139101,46.41817117105302
521000,INHUMAS,CENTRAL,0,0.0,51144,10.842400462446562,562.6773888363291,824.976348155156,436.0682050194717,-126.60918381685741
521010,IPAMERI,ESTRADA DE FERRO,0,0.0,26178,10.172674642351664,514.0877598152425,752.4249422632795,386.9375188974055,-127.15024091783704
521015,IPIRANGA DE GOIAS,SAO PATRICIO I,0,0.0,2935,7.984462732262196,217.06484641638224,303.0716723549488,224.69839724646246,7.633550830080225
521020,IPORA,OESTE I,0,0.0,32169,10.378758534888256,244.9055781974302,324.7985564508602,240.81438453981832,-4.091193657611882
521030,ISRAELANDIA,OESTE I,0,0.0,2930,7.982757702011113,36.75970047651463,57.18175629680054,46.144559040398676,9.384858563884045
521040,ITABERAI,RIO VERMELHO,0,0.0,38983,10.570880932644982,291.8275754096649,396.09644087256027,284.66677019769566,-7.160805211969262
521056,ITAGUARI,CENTRAL,0,0.0,4688,8.452761331256848,71.90241814680078,77.03830515728654,141.62021881320396,69.71780066640318
521060,ITAGUARU,SAO PATRICIO II,0,0.0,5504,8.61323037961318,584.6766890056149,788.9875022640825,270.30169418265643,-314.37499482295846
521080,ITAJA,SUDOESTE I,0,0.0,5005,8.518192691749322,724.7524752475247,1021.7821782178218,604.0832781409279,-120.66919710659681
521090,ITAPACI,SAO PATRICIO I,0,0.0,20557,9.930956794525674,699.9652795000248,886.265562224096,934.025803432184,234.06052393215919
521100,ITAPIRAPUA,RIO VERMELHO,0,0.0,7017,8.85609105525229,545.1541850220265,716.9603524229075,362.05587072313335,-183.09831429889311
521120,ITAPURANGA,RIO VERMELHO,0,0.0,26667,10.191182124909785,1041.543360179809,1323.8434163701068,1064.2924346418004,22.749074461991313
521130,ITARUMA,SUDOESTE I,0,0.0,6777,8.821289805136113,98.50746268656717,121.79104477611939,448.9089488418017,350.4014861552345
521140,ITAUCU,CENTRAL,0,0.0,8925,9.09661160664784,887.8893511750815,1187.4508040031485,905.2635232947707,17.374172119689206
